,score,text,klasifikasi
199,1,"['bperbandingan', 'pertor', 'nomor', 'cegah', 'tangan', 'keras', 'seksual', 'rundung', 'permendxexxa']",Positif
204,2,"['bpermendikbud', 'no', 'risi', 'atur', 'cegah', 'tangan', 'keras', 'seksual', 'ppks', 'lxexxa']",Positif
226,2,"['bpermendikbudristek', 'ppks', 'gelinding', 'kampuskampus', 'bentuk', 'satgas', 'cegah', 'penanxexxa']",Positif
230,1,"['bppks', 'dukung', 'acara', 'seminar', 'workshop', 'tingkat', 'mandiri', 'tani', 'sawit', 'kunjung', 'booth', 'ppks', 'dapat', 'proxexxa']",Positif
234,1,"['bproduk', 'hukum', 'terbit', 'permendikbudristek', 'ppks', 'kemendikbud', 'keluar', 'tim', 'satgas', 'gitu', 'uxexxa']",Positif
238,2,"['brektor', 'universitas', 'halu', 'oleo', 'uho', 'kendari', 'muhammad', 'zamrun', 'firihu', 'dukung', 'atur', 'menteri', 'didik', 'kebudayaxexxa']",Positif
239,1,"['brektorat', 'dosen', 'staf', 'kampus', 'peran', 'rumus', 'bijak', 'perspektif', 'korban', 'termasukxexxa']",Positif
242,1,"['bruu', 'tpks', 'permendikbudristek', 'ppks', 'sarat', 'liberalisasi', 'hidup', 'sosial', 'kampus', 'cocok']",Positif
246,1,"['bsasaran', 'permendikdubristek', 'ppks', 'cegah', 'tangan', 'sebelas', 'jadi', 'keras', 'sekxexxa']",Positif
259,1,"['bsemalam', 'sempat', 'mantik', 'diskusi', 'panel', 'kait', 'urgensi', 'satgas', 'ppks', 'universitasxexxa']",Positif
261,2,"['bsesat', 'pikir', 'permendikbudristek', 'ristek', 'ppks', 'logika', 'loh', 'sudah', 'tau', 'laku', 'keras', 'seksual', 'hasilxexxa']",Positif
262,2,"['bsesat', 'pikir', 'permendikbudristek', 'ristek', 'ppks', 'logika', 'loh', 'sudah', 'tau', 'laku', 'keras', 'seksual', 'pacarxexxa']",Positif
265,1,"['bsikap', 'dukung', 'rektor', 'ugm', 'implementasi', 'permendikbudristek', 'ppks', 'lingkung', 'kampusxexxa']",Positif
266,1,"['bsikap', 'dukung', 'rektor', 'ugm', 'implementasi', 'permendikbudristek', 'ppks', 'lingkunganxcxakampus']",Positif
268,2,"['bsosialisai', 'atur', 'kemenristedikbud', 'no', 'cegah', 'tangan', 'keras', 'seksual', 'lingkxexxa']",Positif
276,2,"['btim', 'satgas', 'cegah', 'ppks', 'isi', 'persen', 'mahasiswa']",Positif
279,1,"['btweeps', 'permendibudristek', 'ppks', 'terbit', 'payung', 'hukum', 'cegah', 'keras', 'seksual', 'lingkung', 'kampuxexxa']",Positif
280,1,"['buniversitas', 'indonesia', 'dukung', 'implementasi', 'permendikbudristek', 'ppks']",Positif
283,1,"['buts', 'bentuk', 'satgas', 'ppks']",Positif
285,1,"['buuppss', 'kalo', 'tuntut', 'yg', 'lihat', 'salute', 'eksistensi', 'berani', 'anakanak', 'hizbutxexxa']",Positif
288,1,"['bwalaupun', 'permendikbudristek', 'nomor', 'cegah', 'tangan', 'keras', 'seksual', 'pxexxa']",Positif
289,1,"['bwalopun', 'gagal', 'jd', 'asn', 'pimpin', 'nadiem', 'bangga', 'permendikbudristek', 'ppks', 'moga', 'banyxexxa']",Positif
295,1,"['byes', 'permendikbudristek', 'ristek', 'ppks', 'panen', 'dukung', 'kalang']",Positif
304,1,"['dukung', 'mbak', 'sy', 'coba', 'artikel', 'bahan', 'ghibah', 'teman']",Positif
305,1,"['dukung', 'permendikbudristek', 'ristek', 'ppks', 'lingkung', 'guru', 'permendikbudristek', 'langkah', 'melawxexxa']",Positif
309,2,"['gais', 'bantu', 'isi', 'kuisionerku', 'atur', 'tri', 'cegah', 'tangan', 'keras', 'seksual', 'ppks', 'mohonxexxa']",Positif
310,1,"['geulis', 'mendikbud', 'ristek', 'ruang', 'lingkup', 'atur', 'mendikbud', 'ristek', 'permendikbudristek', 'ristek', 'nomor', 'tahunxexxa']",Positif
311,3,"['gila', 'sudah', 'berani', 'terang', 'gin', 'gubsu', 'edi', 'ama', 'walkot', 'bobby', 'berani', 'aparat', 'tindak', 'nih', 'mxexxa']",Positif
313,1,"['good', 'byk', 'yg', 'berani', 'speak', 'out', 'permendikbudristek', 'ppks']",Positif
323,2,"['id', 'dosis', 'pupuk', 'tunggal', 'tbm', 'kelapa', 'sawit', 'tanah', 'mineral', 'simak', 'informasi', 'bagi', 'temanteman', 'andaxexxa']",Positif
326,1,"['id', 'terima', 'kasih', 'ppkskebetulan', 'tanam', 'sawit', 'exs', 'karet', 'gnti', 'sawit', 'habibit', 'jenis', 'dxcxp', 'simalungun', 'daxexxa']",Positif
327,1,"['id', 'unggul', 'tanam', 'sehat', 'dapat', 'kebun', 'sawit', 'simak', 'ppks', 'note', 'sahabxexxa']",Positif
328,1,"['id', 'ya', 'permendikbudristek', 'ristek', 'ppks', 'panen', 'dukung', 'kalang']",Positif
329,1,"['idn', 'muslimah', 'talk', 'terbit', 'permendikbudristek', 'no', 'thn', 'cegah', 'amp', 'tangan', 'keras', 'seksual', 'ppks', 'pandang', 'sexexxa']",Positif
332,2,"['inti', 'permendikbudristek', 'ppks', 'sudah', 'tau', 'kalo', 'consent', 'ya', 'termaxexxa']",Positif
335,1,"['kalo', 'lapor', 'gegara', 'ppks', 'supaya', 'turun', 'lapor', 'hold', 'aja', 'ppks', 'nya']",Positif
341,1,"['kritik', 'kait', 'permendikbudristek', 'nomor', 'cegah', 'tangan', 'keras', 'sexexxa']",Positif
342,1,"['lihat', 'generasi', 'muda', 'gegara', 'policy', 'sby', 'noenemypolicy', 'radikalisme', 'biar', 'tumbuh', 'subur', 'mahasiswa', 'ixexxa']",Positif
351,1,"['mendikbud', 'ristek', 'nadiem', 'makarim', 'salah', 'arti', 'isi', 'atur', 'kait', 'cegah', 'penxexxa']",Positif
352,1,"['mendikbudristek', 'nadiem', 'makarim', 'permendikbudristek', 'ppks', 'xexxchanyaxexxd', 'atur', 'kait', 'keras', 'seksual', 'txexxa']",Positif
356,1,"['muslimahnews', 'xexx', 'biar', 'aktivitas', 'seksual', 'tuju', 'paksa', 'alias', 'zinaxexxa']",Positif
360,1,"['nadiem', 'makarim', 'ruang', 'lingkup', 'permendikbudristek', 'ristek', 'nomor', 'atur', 'keras', 'seksualxexxa']",Positif
362,1,"['nadiem', 'ruang', 'lingkup', 'permendikbudristek', 'ristek', 'nomor', 'kait', 'keras', 'seksual', 'atur', 'soalxexxa']",Positif
364,1,"['nadiem', 'tekan', 'topik', 'utama', 'permendikbudristek', 'ristek', 'cegah', 'keras', 'seksual', 'lingkung', 'kampus', 'xexxa']",Positif
369,1,"['official', 'gimana', 'sikap', 'pgri', 'permendikbudristek', 'no', 'th', 'ppks', 'mimin']",Positif
371,1,"['orid', 'tangan', 'keras', 'seksual', 'kampus', 'desak', 'terap', 'lingkung', 'guru', 'kekerasaxexxa']",Positif
372,2,"['pbnu', 'sorot', 'suka', 'suka', 'permendikbudristek', 'ppks', 'nadiem', 'tampung']",Positif
381,1,"['permendikbudristek', 'ppks', 'cegah', 'keras', 'seksual', 'kh', 'husein', 'muhammad', 'permendikbudristek', 'ppks', 'belxexxa']",Positif
382,1,"['permendikbudristek', 'ppks', 'kampus', 'xexxcbebas', 'merdekaxexxd', 'atur', 'menteri', 'didik', 'budaya', 'riset', 'teknologixexxa']",Positif
383,1,"['permendikbudristek', 'ppks', 'kampus', 'xexxcbebas', 'merdekaxexxd', 'atur', 'menteri', 'didik', 'budaya', 'riset', 'teknolxexxa']",Positif
387,2,"['permendikbudristek', 'ppks', 'ri', 'kesah', 'atur', 'menteri', 'permendikbudristek', 'nomor', 'cegah', 'pxexxa']",Positif
403,1,"['rektor', 'unsika', 'bentuk', 'panitia', 'seleksi', 'lindung', 'cegah', 'keras', 'seksual', 'pansel', 'ppks', 'wakixexxa']",Positif
404,3,"['ri', 'menteri', 'agama', 'dukung', 'bijak', 'kemendikbud', 'ristek', 'kait', 'cegah', 'tangan', 'keras', 'seksual', 'ppks', 'lingxexxa']",Positif
405,1,"['ruang', 'lingkup', 'permendikbudristek', 'ristek', 'nomor', 'atur', 'keras', 'seksxexxa']",Positif
411,1,"['saya', 'anak', 'hukum', 'kayak', 'enak', 'diskusi', 'erti', 'kuat', 'atur', 'ituxexxa']",Positif
412,1,"['saya', 'tuju', 'anies', 'saya', 'bilang', 'hebat', 'si', 'mustofa', 'aja', 'sampe', 'bikin', 'bela', 'lho', 'atur', 'internaxexxa']",Positif
414,2,"['shiro', 'tuju', 'ya', 'suka', 'sm', 'suka', 'agama', 'ya', 'masuk', 'zina', 'tapi', 'urus', 'sxexxa']",Positif
419,1,"['sy', 'dukung']",Positif
422,2,"['tim', 'satgas', 'cegah', 'ppks', 'isi', 'persen', 'mahasiswa']",Positif
429,1,"['turut', 'yaah', 'lapor', 'keras', 'seksual', 'tingkat', 'tuh', 'yaa', 'korban', 'sudah', 'dilinduxexxa']",Positif
2,-1,"['albaqarah', 'jual', 'ayatayatku', 'harga', 'murah', 'tp', 'kelompok', 'yg', 'jg', 'tolak', 'permendikbudristek', 'ppks', 'inxexxa']",Negatif
12,-1,"['baksi', 'tolak', 'permendikbudristek', 'ppks', 'cegah', 'zina', 'syariah', 'serbaserbi', 'mmc', 'aksi', 'kemaxexxa']",Negatif
13,-1,"['baksi', 'tolak', 'permendikbudristek', 'ppks', 'cegah', 'zina', 'syariah', 'serbaserbi', 'mmc', 'aksi', 'kemxexxa']",Negatif
20,-1,"['balbaqarah', 'jual', 'ayatayatku', 'harga', 'murah', 'tp', 'kelompok', 'yg', 'jg', 'tolak', 'permendikbudristxexxa']",Negatif
21,-1,"['balhamdulillah', 'permendikbudristek', 'ppks', 'korban', 'aman', 'suara', 'moga', 'korban', 'adil', 'pelakuxexxa']",Negatif
27,-1,"['bapa', 'permendikbudristek', 'ppks', 'cabut', 'aplg', 'politis', 'serang', 'presiden', 'jg', 'sasar', 'kursi', 'kemendikbud', 'sy', 'bxexxa']",Negatif
31,-1,"['baudiensi', 'ddii', 'jabar', 'yod', 'tolak', 'permendikbudristek', 'ppks', 'revisi']",Negatif
35,-1,"['bbacain', 'tweet', 'orang', 'tolak', 'permendikbudristek', 'ppks', 'saya', 'marah', 'banget', 'astaga', 'hobi', 'ngelindungin', 'jahat', 'kelamin']",Negatif
39,-1,"['bbaik', 'kubu', 'tuju', 'tolak', 'masingmasing', 'milik', 'basis', 'argumen', 'dapat', 'perbedaxexxa']",Negatif
56,-1,"['bdatangi', 'dprd', 'dewan', 'daxexxwah', 'jabar', 'permendikbudristek', 'ppks', 'cabut', 'id']",Negatif
61,-1,"['bdengar', 'suara', 'mahasiswa', 'kemdikbudristek', 'kesah', 'permendikbudristek', 'ppks', 'debat', 'muncul', 'pihxexxa']",Negatif
62,-1,"['bdi', 'orang', 'polemik', 'kait', 'permendikbudristek', 'ppks', 'berbantahbantahan', 'haram', 'crypto']",Negatif
63,-2,"['bdinilai', 'tentang', 'syariat', 'islam', 'pancasila', 'kammi', 'malu', 'tolak', 'permendikbudristek', 'ppks']",Negatif
65,-2,"['bdprd', 'jabar', 'permendikbudristek', 'ppks', 'cabut', 'tolak', 'ruu', 'tpks']",Negatif
66,-2,"['bdprd', 'jabar', 'permendikbudristek', 'ppks', 'cabut', 'tolak', 'ruuxcxatpks']",Negatif
67,-1,"['bdprk', 'banda', 'aceh', 'dprk', 'banda', 'aceh', 'permendikbudristek', 'ppks', 'kaji', 'ulang']",Negatif
75,-1,"['betahe', 'malu', 'pulak', 'marga', 'baca', 'ulah', 'akka', 'si', 'borjong', 'tidak', 'pikir', 'kelen', 'tengok', 'terorist', 'kxexxa']",Negatif
76,-1,"['bfigurfigur', 'kutip', 'media', 'massa', 'daring', 'top', 'influencer', 'dominasi', 'tolak', 'permendikbudristek', 'ppxexxa']",Negatif
81,-1,"['bgimana', 'nih', 'dapat', 'ormas', 'yg', 'larang', 'negara', 'berani', 'unjuk', 'gigi', 'pubxexxa']",Negatif
91,-1,"['bhaloo', 'sayap', 'organisasi', 'larang', 'hti', 'dxexxa']",Negatif
92,-2,"['bheadline', 'nasional', 'kammi', 'tolak', 'ruu', 'tpks', 'cabut', 'permendikbudristek', 'ppks']",Negatif
98,-1,"['bibarat', 'salah', 'kereta', 'miskonsepsi', 'permendikbudristek', 'ppks', 'halo', 'ikm', 'fh', 'ui', 'raisha', 'manggutmanggut', 'sok', 'pahaxexxa']",Negatif
100,-2,"['bikm', 'ui', 'ikut', 'aksi', 'harap', 'isi', 'taut', 'aksi', 'turuxexxa']",Negatif
102,-2,"['bimplikasi', 'permendikbudristek', 'no', 'ttg', 'ppks', 'adlh', 'legal', 'zina', 'kumpul', 'free', 'sex', 'ormas', 'islam', 'muhammadiyaxexxa']",Negatif
112,-2,"['bkammi', 'daerah', 'gelar', 'aksi', 'tolak', 'permendikbudristek', 'ppks']",Negatif
117,-1,"['bkebijakan', 'resah', 'sah', 'permendikbudristek', 'rxexxa']",Negatif
130,-1,"['bkita', 'butuh', 'partisipasi', 'dukung', 'permendikbudristek', 'ppks', 'sebanyakxcxbnya', 'diskusi', 'adu', 'argumen', 'lawan', 'ppks', 'cumaxexxa']",Negatif
135,-2,"['bkomisi', 'permendikbudristek', 'ppks', 'cabut', 'tolak', 'ruuxcxatpks']",Negatif
137,-1,"['bkontroversi', 'permendikbudristek', 'ristek', 'ppks', 'seks', 'bebas', 'legal', 'mes', 'tri', 'jayanti', 'sh', 'sahabat', 'tintasiyasi']",Negatif
141,-1,"['blalu', 'gimana', 'sih', 'sebenernya', 'langkah', 'negara', 'tangan', 'gawat', 'keras', 'perempuan', 'pxexxa']",Negatif
142,-1,"['blalu', 'keras', 'perempuan', 'hapus', 'bebas', 'kekerxexxa']",Negatif
145,-1,"['bliputan', 'tulis', 'keras', 'seksual', 'lingkung', 'kampus', 'salah', 'satu', 'gxexxa']",Negatif
171,-1,"['bmohon', 'mahasiswa', 'serta', 'demo', 'data', 'latar', 'belakang', 'benih', 'yg', 'jk', 'dibiarkanxexxa']",Negatif
173,-1,"['bmungkin', 'yg', 'takut', 'muhammadiyah', 'mui', 'ppks', 'dll', 'tolak', 'permendikbudristek', 'ppks', 'kemaren', 'bahaya']",Negatif
175,-1,"['bnadiem', 'dengar', 'masuk', 'ormas', 'agama', 'kampus', 'mahasiswa', 'dosen']",Negatif
179,-1,"['bnadiem', 'makarim', 'salah', 'orang', 'jasa', 'hidup', 'saya', 'gojek', 'gomart', 'gosend', 'dll', 'bikin', 'hxexxa']",Negatif
182,-2,"['bnadiem', 'salah', 'arti', 'permendikbudristek', 'ristek', 'mendikbud', 'ristek', 'salah', 'menxexxa']",Negatif
183,-2,"['bnadiem', 'salah', 'arti', 'permendikbudristek', 'ristek', 'salah', 'arti', 'isi', 'darixexxa']",Negatif
187,-1,"['bnamun', 'tolak', 'lincolin', 'arsyad', 'diktilitbang', 'pimpin', 'pusat', 'muhammadiyah', 'dapat', 'permexexxa']",Negatif
188,-1,"['bngabers', 'berontak', 'tolak', 'permendikbudristek', 'ppks', 'koarkoar', 'mending', 'jd', 'bicara', 'dispubxfxfxxfxfxfxxfxfxfxxfxfxfxxf']",Negatif
207,-2,"['bpermendikbud', 'ppks', 'cabut', 'tolak', 'ruuxcxatpks']",Negatif
211,-1,"['bpermendikbud', 'ppks', 'sinyalir', 'legal', 'zina', 'konsep', 'consent', 'kandung', 'dalam', 'milik', 'pemaxexxa']",Negatif
214,-1,"['bpermendikbud', 'ppks', 'tuai', 'kecam', 'anggap', 'legal', 'zina', 'nadiem', 'menerxexxa']",Negatif
216,-1,"['bpermendikbud', 'ristek', 'ppks', 'advokat', 'harap', 'ancam', 'xexxa']",Negatif
217,-1,"['bpermendikbud', 'ristek', 'ppks', 'advokat', 'harap', 'ancam']",Negatif
221,-1,"['bpermendikbud', 'thogut', 'tegak', 'khilafah', 'orator', 'aksi', 'woii', 'nenek', 'luh', 'peang', 'xexxbcxefxbxf']",Negatif
233,-1,"['bpro', 'tolak', 'permendikbudristek', 'ppks', 'pandemi']",Negatif
235,-3,"['bratusan', 'mahasiswa', 'gelar', 'aksi', 'demo', 'kemendikbud', 'tuntut', 'cabut', 'permendikbudristek', 'no', 'pencxexxa']",Negatif
236,-1,"['bratusan', 'mahasiswa', 'medan', 'tolak', 'permendikbudristek', 'ppks', 'syariat', 'islam', 'solusi']",Negatif
249,-2,"['bsebenarnya', 'perintah', 'ri', 'serius', 'ga', 'bubar', 'kelompok', 'usung', 'khilafah', 'demo', 'ganti', 'pancasila', 'amp', 'uudxexxa']",Negatif
255,-1,"['bsejumlah', 'mahasiswa', 'medan', 'unjuk', 'permendikbudristek', 'ppks', 'cabut', 'tegak', 'khilafah', 'komisi', 'xxexxa']",Negatif
271,-1,"['bsungguh', 'amat', 'sayang', 'suara', 'mahasiswa', 'belah', 'sikap', 'hadir', 'permendikbudristek', 'ppks', 'beda', 'suara', 'mahasixexxa']",Negatif
272,-1,"['bsungguh', 'amat', 'sayang', 'suara', 'mahasiswa', 'belah', 'sikap', 'hadir', 'permendikbudristek', 'ppksberbeda', 'suara', 'mahasisxexxa']",Negatif
301,-1,"['dengar', 'suara', 'mahasiswa', 'kemdikbudristek', 'kesah', 'permendikbudristek', 'ppks', 'debat', 'muncul', 'yangxexxa']",Negatif
312,-1,"['gin', 'gaes', 'rumus', 'sederhana', 'tahan', 'permendikbudristek', 'ppks', 'sahkan', 'ruupks', 'bubar', 'ppks']",Negatif
319,-2,"['headline', 'nasional', 'kammi', 'tolak', 'ruu', 'tpks', 'cabut', 'permendikbudristek', 'ppks']",Negatif
331,-1,"['ikut', 'permendikbudristek', 'ppks', 'nadiem', 'makarim', 'somasi', 'ormas', 'pemuda']",Negatif
336,-2,"['kalo', 'turut', 'banyak', 'tolak', 'salah', 'arti', 'tuju', 'yangxexxa']",Negatif
337,-2,"['kammi', 'daerah', 'gelar', 'aksi', 'tolak', 'permendikbudristek', 'ppks']",Negatif
339,-1,"['kekerasanpaksaan', 'buat', 'tuju', 'korban', 'tuju', 'hapus', 'mxexxa']",Negatif
343,-1,"['liput', 'tulis', 'keras', 'seksual', 'lingkung', 'kampus', 'salah', 'satu', 'guru', 'besxexxa']",Negatif
349,-1,"['mahfud', 'perintah', 'bubar', 'hti', 'koq', 'gema', 'bebas', 'organisasi', 'sayap', 'htixexxa']",Negatif
363,-2,"['nadiem', 'salah', 'arti', 'permendikbudristek', 'ristek', 'mendikbud', 'ristek', 'salah', 'arti', 'isxexxa']",Negatif
367,-1,"['nuduh', 'legalisasi', 'perzinahanfree', 'sex', 'tuding', 'penjahatpenjahat', 'kelamin', 'krn', 'tolak', 'permendxexxa']",Negatif
373,-2,"['pelintir', 'permendikbudristek', 'ppks', 'jadi', 'negara', 'gaduh']",Negatif
380,-1,"['permendikbudristek', 'ppks', 'bener', 'dampak', 'karna', 'korban', 'sebelumnyaxexxa']",Negatif
392,-1,"['permendikbudristek', 'ppks', 'tuai', 'kecam', 'anggap', 'legal', 'zina', 'nadiem', 'menerbitkanxexxa']",Negatif
394,-1,"['permendikbudristek', 'ristek', 'ppks', 'advokat', 'harap', 'ancam']",Negatif
395,-1,"['permendikbudristek', 'thogut', 'tegak', 'khilafah', 'orator', 'aksi', 'woii', 'nenek', 'luh', 'peang', 'xexxbcxefxbxf', 'sejumlahxexxa']",Negatif
397,-1,"['polri', 'aulia', 'bapakibu', 'polisi', 'perintah', 'bubar', 'hti', 'tapxexxa']",Negatif
398,-1,"['polri', 'bentuk', 'keras', 'seksual', 'larang', 'kemendikbud', 'ristek', 'resmi', 'kesah', 'permendikbudristek', 'nomor', 'tentanxexxa']",Negatif
402,-2,"['ratus', 'mahasiswa', 'gelar', 'aksi', 'demo', 'kemendikbud', 'tuntut', 'cabut', 'permendikbudristek', 'no', 'cegah', 'danxexxa']",Negatif
409,-1,"['salah', 'arti', 'permendikbudristek', 'ristek', 'nadiem', 'tekan', 'topik', 'utama', 'permenxexxa']",Negatif
410,-1,"['salah', 'arti', 'permendikbudristek', 'ristek', 'nadiem', 'tekan', 'topik', 'utama', 'perxexxa']",Negatif
415,-1,"['shiro', 'yap', 'tuju', 'pandang', 'jg', 'sih', 'heran', 'aja', 'pikir', 'legal', 'zina', 'kaxexxa']",Negatif
424,-1,"['tolak', 'lincolin', 'arsyad', 'diktilitbang', 'pimpin', 'pusat', 'muhammadiyah', 'dapat', 'permendikbudristek', 'pxexxa']",Negatif
